Iteration,Best_Cost
0,907.6699
5,907.6699
10,907.6699
15,907.6699
20,907.6699
25,907.6699
30,907.6699
35,907.6699
40,907.6699
45,907.6699
50,907.4156
55,907.4156
60,907.4156
65,907.4156
70,907.4156
75,907.4156
80,907.4156
85,907.4156
90,907.4156
95,907.4156
100,907.4156
105,907.4156
110,907.4156
115,907.4156
120,907.4156
125,907.4156
130,907.4156
135,907.4156
140,907.4156
145,907.4156
150,895.3745
155,895.3745
160,895.2841
165,895.2841
170,895.2841
175,895.2841
180,895.2841
185,895.2841
190,895.2841
195,895.2841
200,895.2841
