Iteration,Best_Cost
100,906.1934
150,906.1934
300,906.1934
350,906.1934
400,906.1934
450,906.1934
600,906.1934
650,906.1934
700,906.1934
750,906.1934
850,906.1934
1000,906.1934
1100,906.1934
1150,906.1934
1250,906.1934
1350,906.1934
1700,906.1934
1750,906.1934
1800,906.1934
1850,906.1934
1900,906.1934
1950,906.1934
2050,906.1934
2100,906.1934
2150,906.1934
2200,906.1934
2300,906.1934
2350,906.1934
2400,906.1934
2450,906.1934
2500,906.1934
2600,906.1934
2650,906.1934
2750,906.1934
2800,906.1934
2900,906.1934
2950,906.1934
3050,906.1934
3100,906.1934
3300,906.1934
3350,906.1934
3400,906.1934
3450,906.1934
3500,906.1934
3550,906.1934
3600,906.1934
3700,906.1934
3750,906.1934
3900,906.1934
4350,906.1934
4400,906.1934
4500,906.1934
4550,906.1934
4600,906.1934
4750,906.1934
4800,906.1934
5000,906.1934
