Iteration,Best_Cost
0,624.8921
5,624.8921
10,624.8921
15,624.8921
20,607.9108
25,607.9108
30,607.9108
35,607.9108
40,607.9108
45,607.9108
50,607.9108
55,607.9108
60,607.9108
65,607.9108
70,607.9108
75,607.9108
80,607.9108
85,607.9108
90,607.9108
95,607.9108
100,607.9108
105,607.9108
110,607.9108
115,607.9108
120,607.9108
125,607.9108
130,607.9108
135,607.9108
140,607.9108
145,607.9108
150,607.9108
155,607.9108
160,607.9108
165,607.9108
170,607.9108
175,607.9108
180,607.9108
185,607.9108
190,607.9108
195,607.9108
200,607.9108
