Iteration,Best_Cost
0,584.9916
50,584.9916
100,584.9916
150,584.9916
200,584.9916
250,584.9916
300,584.9916
400,584.9916
450,584.9916
600,584.9916
650,584.9916
750,584.9916
800,584.9916
850,584.9916
1050,584.9916
1100,584.9916
1150,584.9916
1200,584.9916
1250,584.9916
1350,584.9916
1550,584.9916
1600,584.9916
1650,584.9916
1850,584.9916
1950,584.9916
2150,584.9916
2300,584.9916
2400,584.9916
2450,584.9916
2550,584.9916
2600,584.9916
2750,584.9916
2800,584.9916
2900,584.9916
2950,584.9916
3050,584.9916
3200,584.9916
3250,584.9916
3350,584.9916
3400,584.9916
3450,584.9916
3550,584.9916
3650,584.9916
3700,584.9916
3800,584.9916
3900,584.9916
4000,584.9916
4100,584.9916
4150,584.9916
4200,584.9916
4300,584.9916
4400,584.9916
4450,584.9916
4500,584.9916
4550,584.9916
4750,584.9916
4850,584.9916
5000,584.9916
