Iteration,Best_Cost
0,262.0814
5,213.3737
10,208.8894
15,200.2096
20,200.2096
25,184.3822
30,184.3822
35,184.3822
40,184.3822
45,184.3822
50,184.3822
55,184.3822
60,184.3822
65,184.3822
70,184.3822
75,184.3822
80,184.3822
85,184.3822
90,184.3822
95,184.3822
100,184.3822
105,184.3822
110,184.3822
115,184.3822
120,184.3822
125,184.3822
130,184.3822
135,184.3822
140,184.3822
145,184.3822
150,184.3822
155,184.3822
160,184.3822
165,184.3822
170,184.3822
175,184.3822
180,184.3822
185,184.3822
190,184.3822
195,184.3822
200,184.3822
