Iteration,Best_Cost
50,216.3245
200,216.3245
250,216.3245
300,216.3245
400,216.3245
450,216.3245
500,216.3245
550,216.3245
750,216.3245
800,216.3245
850,216.3245
900,216.3245
950,216.3245
1100,214.8085
1150,205.7784
1300,205.7784
1350,205.7784
1400,205.7784
1450,205.7784
1600,205.7784
1650,205.7784
1700,205.7784
1750,205.7784
1850,199.3228
1900,199.3228
1950,199.3228
2000,199.3228
2050,199.3228
2100,199.3228
2150,199.3228
2200,199.3228
2250,199.3228
2400,199.3228
2450,199.3228
2500,199.3228
2550,199.3228
2600,199.3228
2650,199.3228
2700,199.3228
2750,199.3228
2850,199.3228
2900,199.3228
2950,199.3228
3050,199.3228
3150,199.3228
3200,199.3228
3350,199.3228
3450,199.3228
3550,199.3228
3600,199.3228
3650,199.3228
3700,199.3228
3800,199.3228
3850,199.3228
3900,199.3228
3950,199.3228
4000,199.3228
4050,199.3228
4100,199.3228
4150,199.3228
4200,199.3228
4250,199.3228
4300,199.3228
4450,199.3228
4500,199.3228
4550,199.3228
4650,199.3228
4700,199.3228
4750,199.3228
4800,199.3228
4850,199.3228
4950,199.3228
5000,199.3228
